ORDER_ID,AMOUNT,PROFIT,PROFITABLE_FLAG
B-25676,1263,-56,not profitable
B-25676,674,-187,not profitable
B-25676,32,6,profitable
B-25676,79,36,profitable
B-25677,20,-2,not profitable
B-25678,64,-7,not profitable
B-25678,7,-3,not profitable
B-25678,327,-39,not profitable
B-25678,27,-25,not profitable
B-25679,76,-50,not profitable
B-25680,73,-25,not profitable
B-25681,68,-27,not profitable
B-25681,523,204,profitable
B-25681,44,-3,not profitable
B-25681,243,-14,not profitable
B-25681,1625,-77,not profitable
B-25681,1096,-658,not profitable
B-25682,545,-73,not profitable
B-25683,433,26,profitable
B-25683,245,-3,not profitable
B-25683,155,56,profitable
B-25683,148,52,profitable
B-25683,86,-55,not profitable
B-25684,134,42,profitable
B-25685,51,7,profitable
B-25685,529,137,profitable
B-25685,264,-30,not profitable
B-25685,45,-2,not profitable
B-25686,381,-13,not profitable
B-25686,332,-503,not profitable
B-25686,1829,-56,not profitable
B-25687,17,6,profitable
B-25687,357,139,profitable
B-25687,51,21,profitable
B-25687,387,-213,not profitable
B-25687,14,-1,not profitable
B-25688,352,-345,not profitable
B-25689,469,-459,not profitable
B-25689,97,17,profitable
B-25689,149,36,profitable
B-25690,31,10,profitable
B-25691,714,56,profitable
B-25691,75,-25,not profitable
B-25691,17,-9,not profitable
B-25692,141,28,profitable
B-25693,76,-72,not profitable
B-25693,632,-316,not profitable
B-25693,32,-16,not profitable
B-25693,68,-30,not profitable
B-25693,82,-39,not profitable
B-25693,72,-49,not profitable
B-25693,13,-13,not profitable
B-25694,167,43,profitable
B-25695,171,14,profitable
B-25696,117,-6,not profitable
B-25696,116,-4,not profitable
B-25696,887,80,profitable
B-25696,275,-275,not profitable
B-25696,44,7,profitable
B-25696,168,-9,not profitable
B-25697,114,8,profitable
B-25697,1300,-16,not profitable
B-25697,4,-3,not profitable
B-25697,73,-7,not profitable
B-25697,67,-42,not profitable
B-25697,322,-193,not profitable
B-25697,115,-39,not profitable
B-25698,87,-83,not profitable
B-25698,27,-6,not profitable
B-25698,207,-153,not profitable
B-25698,516,-392,not profitable
B-25698,7,-2,not profitable
B-25698,65,-16,not profitable
B-25699,20,-22,not profitable
B-25699,49,-31,not profitable
B-25699,34,-13,not profitable
B-25699,21,-5,not profitable
B-25700,129,-75,not profitable
B-25700,44,-32,not profitable
B-25700,7,-3,not profitable
B-25701,10,-8,not profitable
B-25701,33,-29,not profitable
B-25701,98,-45,not profitable
B-25701,33,-12,not profitable
B-25702,75,0,profitable
B-25702,424,-17,not profitable
B-25702,31,-3,not profitable
B-25702,941,-203,not profitable
B-25702,306,-147,not profitable
B-25703,42,-23,not profitable
B-25703,17,-3,not profitable
B-25703,32,-5,not profitable
B-25703,231,-190,not profitable
B-25703,22,-15,not profitable
